Tow #,lat,lon,pres,temp (use),sal,sigma,fluor,att.coeff.,oxygen_diss,O2_satur,pH,Om-Arag,O2
1,32.53479,-118.18612,1067,3.997,34.495,27.393,0.01,0.0064,0.4934,6.786800748,7.510393493,0.529733027,21.44772643
1,32.53478,-118.18612,1067.4,3.997,34.495,27.393,0.01,0.0064,0.4993,6.86795625,7.510740649,0.529688593,21.70419499
1,32.53478,-118.18613,1067.5,3.996,34.495,27.393,0.01,0.0076,0.4934,6.786636416,7.510384254,0.529706282,21.44772643
1,32.53479,-118.18614,1067.3,3.996,34.495,27.393,0.01,0.0064,0.489,6.726115135,7.510125366,0.529739532,21.25646174
1,32.53478,-118.18615,1067,3.997,34.495,27.393,0.01,0.0064,0.4875,6.705645247,7.510046337,0.529777461,21.19125787
1,32.53478,-118.18615,1066.7,3.997,34.495,27.393,0.01,0.0064,0.4874,6.70426973,7.510040453,0.529778214,21.18691095
1,32.53478,-118.18616,1066.6,3.998,34.495,27.393,0.01,0.0064,0.4933,6.785589531,7.510396847,0.529760524,21.44337951
1,32.53477,-118.18617,1066.8,3.998,34.494,27.393,0.01,0.0076,0.4933,6.785543684,7.510396847,0.529760524,21.44337951
1,32.53477,-118.18617,1066.9,3.998,34.495,27.393,0.01,0.0064,0.4992,6.866746997,7.510744014,0.529716241,21.69984806
1,32.53477,-118.18618,1066.9,3.998,34.495,27.393,0.01,0.0064,0.4933,6.785589531,7.510396847,0.529760524,21.44337951
1,32.53476,-118.18619,1066.8,3.998,34.495,27.393,0.01,0.0076,0.4874,6.704432064,7.51004968,0.529804806,21.18691095
1,32.53476,-118.18619,1066.6,3.998,34.495,27.393,0.01,0.0064,0.4874,6.704432064,7.51004968,0.529804806,21.18691095
1,32.53476,-118.1862,1066.5,3.998,34.495,27.393,0.01,0.0064,0.4874,6.704432064,7.51004968,0.529804806,21.18691095
1,32.53476,-118.1862,1066.4,3.998,34.495,27.393,0.01,0.0064,0.4933,6.785589531,7.510396847,0.529760524,21.44337951
1,32.53476,-118.18621,1066.2,3.998,34.494,27.393,0.01,0.0064,0.4933,6.785543684,7.510396847,0.529760524,21.44337951
