CTD,20120906FEGNRIFS
#ORIGINAL_FILE=\CTD\Report\c3100a.asc
#CTD_SAL ax+b   :a=0.981152
#CTD_SAL ax+b   :b=0.659199
# sensor 0 = Frequency  0  temperature, 1549, 06-Oct-09
# sensor 1 = Frequency  1  conductivity, 1245, 15-Oct-09, cpcor = -9.5700e-08
# sensor 2 = Frequency  2  pressure, 53581, 15-jul-1998
# System UpLoad Time = May 10 2010 06:46:35
# NMEA Latitude = 30 59.82 N
# NMEA Longitude = 138 00.00 E
NUMBER_HEADERS=10
EXPOCODE=49SO201005
SECT=138E
STNNBR=  3100CR
CASTNO=1
DATE=20100509
TIME=2140
LATITUDE=30.997
LONGITUDE=138.000
DEPTH=     0
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,
161,2,18.7014,2,34.69742593,2,191.2853963,1
162,2,18.7018,2,34.69752405,2,191.1687405,1
163,2,18.7014,2,34.69811274,2,191.224892,1
164,2,18.6997,2,34.69958447,2,191.0973542,1
165,2,18.6995,2,34.69997693,2,190.9463111,1
166,2,18.6996,2,34.70007504,2,190.8588193,1
167,2,18.7002,2,34.6997807,2,190.9362996,1
168,2,18.6995,2,34.70085997,2,190.72127,1
169,2,18.6984,2,34.70184112,2,190.618108,1
170,2,18.6988,2,34.70213546,2,190.5911205,1
171,2,18.699,2,34.70272415,2,190.7456458,1
172,2,18.6982,2,34.7030185,2,190.4100429,1
173,2,18.6963,2,34.70360719,2,190.1305914,1
174,2,18.6968,2,34.70360719,2,190.4065606,1
175,2,18.696,2,34.70370531,2,190.4039489,1
176,2,18.6954,2,34.70380342,2,190.2215655,1
177,2,18.6948,2,34.70380342,2,190.1249327,1
178,2,18.6945,2,34.70380342,2,190.0779222,1
179,2,18.6937,2,34.704294,2,190.1449558,1
180,2,18.6931,2,34.70439211,2,189.9760661,1
181,2,18.6913,2,34.70478457,2,189.8393873,1
182,2,18.6907,2,34.70488269,2,189.8877037,1
183,2,18.6907,2,34.7049808,2,190.0239472,1
184,2,18.6898,2,34.7049808,2,190.0008772,1
185,2,18.6893,2,34.70488269,2,190.211554,1
186,2,18.6878,2,34.70449023,2,190.4413832,1
187,2,18.6881,2,34.70468646,2,190.2672702,1
188,2,18.6874,2,34.70439211,2,190.3861023,1
189,2,18.6877,2,34.70449023,2,190.7791626,1
190,2,18.6876,2,34.70449023,2,190.5632624,1
191,2,18.6879,2,34.70449023,2,190.4104782,1
192,2,18.6885,2,34.70449023,2,190.420925,1
193,2,18.6883,2,34.70449023,2,190.5323573,1
194,2,18.6878,2,34.704294,2,190.7291051,1
195,2,18.687,2,34.70419588,2,190.658154,1
196,2,18.6871,2,34.70419588,2,190.4905702,1
197,2,18.6875,2,34.704294,2,190.4818645,1
198,2,18.6874,2,34.704294,2,190.4405127,1
199,2,18.6863,2,34.70390154,2,190.4017725,1
200,2,18.6851,2,34.70360719,2,190.4866526,1
201,2,18.6812,2,34.70262604,2,190.4796881,1
202,2,18.6805,2,34.70272415,2,190.5880735,1
203,2,18.6799,2,34.70242981,2,190.6333429,1
204,2,18.6747,2,34.70135054,2,190.6894943,1
205,2,18.6666,2,34.69987881,2,190.89843,1
206,2,18.6625,2,34.69968258,2,190.6585893,1
207,2,18.6615,2,34.69987881,2,190.7251875,1
208,2,18.6609,2,34.70007504,2,190.7826448,1
209,2,18.6606,2,34.70066373,2,191.0368499,1
210,2,18.6608,2,34.7010562,2,191.1034481,1
211,2,18.6606,2,34.70164489,2,191.0442497,1
212,2,18.6603,2,34.70164489,2,190.9380407,1
213,2,18.6591,2,34.701743,2,190.7473869,1
214,2,18.6579,2,34.70193923,2,190.6829651,1
215,2,18.6577,2,34.70213546,2,190.8139852,1
216,2,18.6577,2,34.70223358,2,190.7791626,1
217,2,18.6578,2,34.70223358,2,190.7713275,1
218,2,18.6572,2,34.70213546,2,190.9167119,1
219,2,18.6565,2,34.70223358,2,191.0464261,1
220,2,18.6554,2,34.70223358,2,190.9502287,1
221,2,18.6545,2,34.70213546,2,190.8901596,1
222,2,18.6531,2,34.70233169,2,190.8074559,1
223,2,18.6528,2,34.70242981,2,190.6289901,1
224,2,18.6528,2,34.70252792,2,190.4326776,1
225,2,18.6527,2,34.70252792,2,190.4844762,1
226,2,18.6525,2,34.70262604,2,190.6080965,1
227,2,18.6524,2,34.70272415,2,190.7539162,1
228,2,18.6527,2,34.70242981,2,190.8823246,1
229,2,18.6526,2,34.70272415,2,190.7225758,1
230,2,18.6529,2,34.70252792,2,190.5462864,1
231,2,18.6516,2,34.70242981,2,190.5058051,1
232,2,18.6499,2,34.70272415,2,190.3556326,1
233,2,18.6502,2,34.7030185,2,190.4061253,1
234,2,18.6505,2,34.70311661,2,190.3321273,1
235,2,18.6507,2,34.7030185,2,190.3865376,1
236,2,18.6506,2,34.70292038,2,190.4870879,1
237,2,18.6509,2,34.7030185,2,190.460971,1
238,2,18.6513,2,34.7030185,2,190.2307064,1
239,2,18.6515,2,34.70311661,2,190.3900199,1
240,2,18.6519,2,34.7030185,2,190.5880735,1
241,2,18.6522,2,34.70321473,2,190.7230111,1
242,2,18.6524,2,34.70321473,2,190.6764359,1
243,2,18.6525,2,34.70331285,2,190.508852,1
244,2,18.6527,2,34.70321473,2,190.3695616,1
245,2,18.6515,2,34.70321473,2,190.265529,1
246,2,18.651,2,34.70331285,2,190.3991608,1
247,2,18.6505,2,34.70321473,2,190.638131,1
248,2,18.6497,2,34.70350908,2,190.8488078,1
249,2,18.6499,2,34.70341096,2,190.8818893,1
250,2,18.65,2,34.70341096,2,190.9180177,1
251,2,18.6501,2,34.70360719,2,190.8218203,1
252,2,18.6502,2,34.70350908,2,190.6912355,1
253,2,18.6504,2,34.70341096,2,190.6594598,1
254,2,18.6506,2,34.70350908,2,190.6006967,1
255,2,18.6508,2,34.70350908,2,190.5271339,1
256,2,18.651,2,34.70360719,2,190.5462864,1
257,2,18.6511,2,34.70370531,2,190.5480275,1
258,2,18.6512,2,34.70350908,2,190.4696766,1
259,2,18.6514,2,34.70350908,2,190.2764111,1
260,2,18.6516,2,34.70331285,2,190.2420238,1
261,2,18.6516,2,34.70341096,2,190.4757706,1
262,2,18.6517,2,34.70341096,2,190.6028731,1
263,2,18.6514,2,34.70350908,2,190.7051645,1
264,2,18.6512,2,34.70350908,2,190.9367349,1
265,2,18.6514,2,34.70350908,2,190.984616,1
266,2,18.6511,2,34.70350908,2,190.9171472,1
267,2,18.6508,2,34.70360719,2,190.7425988,1
268,2,18.6497,2,34.70370531,2,190.5384513,1
269,2,18.6493,2,34.70360719,2,190.4326776,1
270,2,18.6486,2,34.70370531,2,190.3656441,1
271,2,18.6477,2,34.70380342,2,190.5114637,1
272,2,18.6477,2,34.70370531,2,190.6324723,1
273,2,18.6476,2,34.70399965,2,190.6359546,1
274,2,18.6472,2,34.70390154,2,190.4453008,1
275,2,18.6468,2,34.70409777,2,190.4056901,1
276,2,18.6464,2,34.70409777,2,190.3112337,1
277,2,18.6463,2,34.70419588,2,190.3199394,1
278,2,18.6463,2,34.704294,2,190.3482327,1
279,2,18.6464,2,34.70439211,2,190.3190688,1
280,2,18.6464,2,34.70439211,2,190.2942577,1
281,2,18.6459,2,34.70449023,2,190.2846815,1
282,2,18.6458,2,34.70449023,2,190.4100429,1
283,2,18.6459,2,34.70449023,2,190.4740294,1
284,2,18.6457,2,34.70449023,2,190.3273392,1
285,2,18.6455,2,34.70458834,2,190.1571437,1
286,2,18.646,2,34.70449023,2,190.0700871,1
287,2,18.6461,2,34.70468646,2,190.0792281,1
288,2,18.6452,2,34.70449023,2,190.1175329,1
289,2,18.6438,2,34.70458834,2,190.2389768,1
290,2,18.6433,2,34.70468646,2,190.317763,1
291,2,18.6431,2,34.70478457,2,190.3382212,1
292,2,18.6431,2,34.70478457,2,190.2185185,1
293,2,18.6429,2,34.70488269,2,190.0074064,1
294,2,18.6426,2,34.70488269,2,189.8750805,1
295,2,18.6425,2,34.7049808,2,189.9347142,1
296,2,18.6424,2,34.7049808,2,189.7693068,1
297,2,18.6422,2,34.70507892,2,189.7784478,1
298,2,18.642,2,34.70537326,2,189.9347142,1
299,2,18.6417,2,34.70537326,2,190.0552875,1
300,2,18.6412,2,34.70547138,2,190.0722635,1
301,2,18.6405,2,34.70566761,2,190.0922865,1
302,2,18.6399,2,34.70576573,2,189.9860776,1
303,2,18.6393,2,34.70596196,2,189.8228466,1
304,2,18.6391,2,34.70596196,2,189.7597306,1
305,2,18.6386,2,34.70606007,2,189.7327431,1
306,2,18.6382,2,34.70615819,2,189.7070614,1
307,2,18.638,2,34.70615819,2,189.7114142,1
308,2,18.6374,2,34.70615819,2,189.9377612,1
309,2,18.637,2,34.70615819,2,190.1210152,1
310,2,18.6363,2,34.70586384,2,189.885092,1
311,2,18.6355,2,34.70606007,2,189.9991361,1
312,2,18.635,2,34.70615819,2,190.0444055,1
313,2,18.6348,2,34.70635442,2,189.891186,1
314,2,18.6338,2,34.70596196,2,189.8058706,1
315,2,18.6314,2,34.70586384,2,189.7484133,1
316,2,18.6284,2,34.70507892,2,189.9299261,1
317,2,18.6244,2,34.70439211,2,190.2502942,1
318,2,18.6204,2,34.70360719,2,190.4805587,1
319,2,18.618,2,34.70360719,2,190.6255078,1
320,2,18.6176,2,34.70350908,2,190.6594598,1
321,2,18.6168,2,34.70341096,2,190.6429191,1
322,2,18.6167,2,34.70360719,2,190.3961138,1
323,2,18.6169,2,34.70370531,2,190.348668,1
324,2,18.6168,2,34.70350908,2,190.3660793,1
325,2,18.6167,2,34.70350908,2,190.4474772,1
326,2,18.6161,2,34.70350908,2,190.5567331,1
327,2,18.6152,2,34.70341096,2,190.5615212,1
328,2,18.6147,2,34.70350908,2,190.6886238,1
329,2,18.6146,2,34.70350908,2,190.7887388,1
330,2,18.6144,2,34.70331285,2,190.7256228,1
331,2,18.614,2,34.70341096,2,190.6450955,1
332,2,18.6131,2,34.70321473,2,190.501017,1
333,2,18.6124,2,34.70321473,2,190.5832854,1
334,2,18.612,2,34.70311661,2,190.6202844,1
335,2,18.611,2,34.7030185,2,190.5671799,1
336,2,18.6104,2,34.7030185,2,190.6716478,1
337,2,18.6104,2,34.70292038,2,190.8126793,1
338,2,18.6098,2,34.70262604,2,190.6851415,1
339,2,18.6086,2,34.70233169,2,190.5192988,1
340,2,18.6085,2,34.70262604,2,190.4257131,1
341,2,18.6089,2,34.70282227,2,190.5175577,1
342,2,18.609,2,34.7030185,2,190.6503189,1
343,2,18.6089,2,34.70311661,2,190.5793678,1
344,2,18.6091,2,34.70370531,2,190.460971,1
345,2,18.6098,2,34.70399965,2,190.4061253,1
346,2,18.6095,2,34.70399965,2,190.3412682,1
347,2,18.6084,2,34.704294,2,190.208507,1
348,2,18.608,2,34.70439211,2,190.068346,1
349,2,18.6065,2,34.70488269,2,189.9551725,1
350,2,18.6051,2,34.70478457,2,190.0004419,1
351,2,18.6025,2,34.70449023,2,190.2529058,1
352,2,18.6011,2,34.704294,2,190.3939374,1
353,2,18.6,2,34.70409777,2,190.3730439,1
354,2,18.6006,2,34.70449023,2,190.351715,1
355,2,18.6005,2,34.704294,2,190.4744647,1
356,2,18.5997,2,34.70419588,2,190.4531359,1
357,2,18.599,2,34.70380342,2,190.480994,1
358,2,18.5992,2,34.70409777,2,190.4091723,1
359,2,18.5992,2,34.70409777,2,190.4022078,1
360,2,18.5995,2,34.70419588,2,190.4561828,1
361,2,18.5994,2,34.70419588,2,190.4744647,1
362,2,18.5993,2,34.704294,2,190.434854,1
363,2,18.5996,2,34.70478457,2,190.3834906,1
364,2,18.6005,2,34.70517703,2,190.2067659,1
365,2,18.601,2,34.70576573,2,189.9708427,1
366,2,18.6012,2,34.70635442,2,189.8524458,1
367,2,18.6024,2,34.70831672,2,189.8602809,1
368,2,18.6033,2,34.70870918,2,189.7196846,1
369,2,18.604,2,34.70890541,2,189.6178285,1
370,2,18.6044,2,34.70919976,2,189.5072667,1
371,2,18.6049,2,34.70929787,2,189.4724441,1
372,2,18.6064,2,34.71047526,2,189.071984,1
373,2,18.6089,2,34.71243756,2,188.6040552,1
374,2,18.6099,2,34.71381117,2,188.3555088,1
375,2,18.6116,2,34.71557725,2,188.1282912,1
376,2,18.6125,2,34.71646028,2,187.8941092,1
377,2,18.6127,2,34.71616594,2,187.6155283,1
378,2,18.6129,2,34.71636217,2,187.505837,1
379,2,18.6133,2,34.71646028,2,187.4235686,1
380,2,18.6134,2,34.71626405,2,187.6037756,1
381,2,18.6133,2,34.71616594,2,187.7008437,1
382,2,18.6132,2,34.71606782,2,187.6638446,1
383,2,18.6131,2,34.71587159,2,187.7578657,1
384,2,18.6127,2,34.71596971,2,187.5959405,1
385,2,18.6139,2,34.71822636,2,187.4779789,1
386,2,18.6148,2,34.71901128,2,187.445768,1
387,2,18.6152,2,34.71910939,2,187.3090893,1
388,2,18.6155,2,34.71920751,2,187.1075534,1
389,2,18.6161,2,34.71989432,2,186.8346312,1
390,2,18.6166,2,34.72146416,2,186.5678029,1
391,2,18.6166,2,34.72215097,2,186.2539641,1
392,2,18.6164,2,34.72313212,2,186.0737571,1
393,2,18.6165,2,34.72411327,2,185.8713507,1
394,2,18.6166,2,34.725585,2,185.4970076,1
395,2,18.6164,2,34.72715484,2,185.1383347,1
396,2,18.6159,2,34.72931338,2,184.6764998,1
397,2,18.6153,2,34.7313738,2,184.1315259,1
398,2,18.6102,2,34.73941924,2,183.2679251,1
399,2,18.6056,2,34.74324574,2,182.4918162,1
400,2,18.6025,2,34.7456005,2,182.0278049,1
401,2,18.6005,2,34.746876,2,181.5189595,1
