CTD,20150316FEGNRIFS
#ORIGINAL_FILE=\Report\C3345b.asc
#CTD_SAL ax+b   :a=1.0003361723921
#CTD_SAL ax+b   :b=-0.0131915369898792
# System UpLoad Time = Jan 27 2015 14:40:41
# NMEA Latitude = 33 44.95 N
# NMEA Longitude = 137 59.65 E
# Temperature SN = 1550
# Conductivity SN = 1244
# SBE43 Oxygen SN = 0357
# RINKO Oxygen SN = 0155
#1-5 dbar were removed because of error values.
NUMBER_HEADERS=10
EXPOCODE=49SO201501
SECT=138E
STNNBR=  C3345
CASTNO=2
DATE=20150127
TIME=0540
LATITUDE=33.74917
LONGITUDE=137.9942
DEPTH=     0
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,RINKOOXY,RINKOOXY_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,UMOL/KG,
106,2,14.1294,2,34.55122416,2,245.246516,1,216.0609119,1
107,2,14.1262,2,34.55152426,2,245.5055092,1,216.1495728,1
108,2,14.1265,2,34.55152426,2,245.0654384,1,216.3220549,1
109,2,14.1247,2,34.55182436,2,244.3685509,1,216.5074015,1
110,2,14.1226,2,34.5519244,2,244.8995957,1,216.8699426,1
111,2,14.121,2,34.55182436,2,244.773799,1,217.0558605,1
112,2,14.1203,2,34.55182436,2,244.5661692,1,217.4141441,1
113,2,14.1197,2,34.55172433,2,245.086332,1,217.6417518,1
114,2,14.1185,2,34.55182436,2,243.8953986,1,217.6713408,1
115,2,14.1168,2,34.5519244,2,244.5722632,1,217.7053803,1
116,2,14.114,2,34.55182436,2,244.5583341,1,217.7694192,1
117,2,14.1133,2,34.55182436,2,244.8190684,1,217.7738702,1
118,2,14.1116,2,34.55202443,2,244.9966637,1,217.7274949,1
119,2,14.1095,2,34.55202443,2,244.5326524,1,217.7111156,1
120,2,14.1078,2,34.55202443,2,244.2275193,1,217.6694539,1
121,2,14.1055,2,34.5519244,2,244.0225012,1,217.4509486,1
122,2,14.1021,2,34.55182436,2,242.7675813,1,217.4182957,1
123,2,14.0978,2,34.55212446,2,243.2089579,1,217.208098,1
124,2,14.0984,2,34.5519244,2,243.1554181,1,216.8543592,1
125,2,14.0988,2,34.5522245,2,242.9504,1,216.7230966,1
126,2,14.099,2,34.55232453,2,244.0455712,1,216.7735342,1
127,2,14.0982,2,34.55242456,2,243.5689366,1,216.8536906,1
128,2,14.0976,2,34.55272466,2,243.9863727,1,216.9291477,1
129,2,14.0962,2,34.55272466,2,243.6189942,1,217.0391663,1
130,2,14.0949,2,34.55272466,2,243.9363152,1,216.9930285,1
131,2,14.0936,2,34.5522245,2,243.9254331,1,216.9728459,1
132,2,14.0913,2,34.55202443,2,244.1835558,1,216.9611329,1
133,2,14.0892,2,34.5519244,2,243.7600257,1,216.9448485,1
134,2,14.0884,2,34.55172433,2,243.8044246,1,216.7978037,1
135,2,14.0887,2,34.55182436,2,243.007422,1,216.6920737,1
136,2,14.0868,2,34.55132419,2,242.1015988,1,216.7268957,1
137,2,14.0832,2,34.55052393,2,241.3259251,1,216.568634,1
138,2,14.0565,2,34.54592238,2,237.2590793,1,215.7282697,1
139,2,14.0377,2,34.54342154,2,237.8323466,1,213.5621343,1
140,2,14.0314,2,34.54282134,2,237.5568127,1,212.5553106,1
141,2,14.0236,2,34.54202107,2,237.2595146,1,212.13095,1
142,2,14.0106,2,34.54072063,2,235.9332084,1,212.0117884,1
143,2,13.9973,2,34.53902006,2,235.4604914,1,211.5426541,1
144,2,13.9907,2,34.53811976,2,235.2972604,1,210.5053892,1
145,2,13.9803,2,34.53701939,2,234.7235579,1,210.2500625,1
146,2,13.9685,2,34.53531882,2,233.3141127,1,210.0207486,1
147,2,13.9459,2,34.53261791,2,231.6199926,1,209.3876037,1
148,2,13.9233,2,34.52981697,2,229.7030078,1,208.0686889,1
149,2,13.8992,2,34.52711606,2,227.9740651,1,207.0065222,1
150,2,13.8812,2,34.52511539,2,227.2249437,1,206.2218506,1
151,2,13.8577,2,34.52271458,2,224.2576218,1,203.9332471,1
152,2,13.8229,2,34.51841313,2,220.5960242,1,203.4240212,1
153,2,13.7962,2,34.51471189,2,217.9843283,1,202.3963647,1
154,2,13.7484,2,34.50911001,2,213.3167924,1,201.227593,1
155,2,13.6687,2,34.49950678,2,206.7213897,1,197.3821252,1
156,2,13.6318,2,34.49470517,2,206.7705766,1,194.6016474,1
157,2,13.6174,2,34.4930046,2,208.2331263,1,188.6604726,1
158,2,13.6036,2,34.48800291,2,209.349191,1,186.8514488,1
159,2,13.5917,2,34.49100392,2,210.789106,1,186.8686747,1
160,2,13.5545,2,34.48730268,2,213.1265739,1,187.6551929,1
161,2,13.519,2,34.48370147,2,217.3218281,1,189.0021118,1
162,2,13.4672,2,34.47899989,2,220.0040398,1,189.6977616,1
163,2,13.4231,2,34.47489851,2,219.5922624,1,191.132242,1
164,2,13.339,2,34.46709589,2,217.491153,1,194.5065767,1
165,2,13.3126,2,34.46759606,2,212.08886,1,195.4850144,1
166,2,13.3011,2,34.46819626,2,209.6795706,1,195.6100843,1
167,2,13.2973,2,34.46799619,2,210.0578312,1,191.9228686,1
168,2,13.2541,2,34.46569542,2,206.1907801,1,191.1186438,1
169,2,13.2521,2,34.46509522,2,204.4361558,1,189.7113399,1
170,2,13.2026,2,34.46469508,2,200.5913041,1,188.719464,1
171,2,13.1943,2,34.46479512,2,199.7011511,1,187.2596497,1
172,2,13.1884,2,34.46419491,2,201.0614094,1,183.287963,1
173,2,13.1808,2,34.46389481,2,201.8013899,1,183.0313563,1
174,2,13.1793,2,34.46279444,2,203.1620834,1,181.2869052,1
175,2,13.1546,2,34.46109387,2,203.9085932,1,181.5340594,1
176,2,13.1288,2,34.45869306,2,201.8270715,1,181.8672439,1
177,2,13.0905,2,34.45779276,2,195.2299277,1,182.3479265,1
178,2,13.0616,2,34.45679243,2,195.3100197,1,181.7096006,1
179,2,13.0103,2,34.44969004,2,205.6893345,1,178.3953329,1
180,2,12.9622,2,34.44168735,2,211.2870694,1,178.0388782,1
181,2,12.9343,2,34.43968668,2,210.7190255,1,179.8039994,1
182,2,12.9094,2,34.43548527,2,213.2288653,1,182.9627516,1
183,2,12.9018,2,34.43418483,2,213.9296704,1,184.8325605,1
184,2,12.9004,2,34.434685,2,212.215092,1,187.8745427,1
185,2,12.8978,2,34.43478503,2,212.011815,1,189.1014462,1
186,2,12.8945,2,34.43458496,2,211.9852628,1,189.3988872,1
187,2,12.8945,2,34.43458496,2,211.9922273,1,189.6583022,1
188,2,12.893,2,34.43478503,2,212.7139259,1,189.6659892,1
189,2,12.8896,2,34.434685,2,208.4298741,1,189.7298812,1
190,2,12.8752,2,34.43728587,2,203.2365168,1,189.578661,1
191,2,12.8558,2,34.43778604,2,199.867429,1,187.0571458,1
192,2,12.8205,2,34.43778604,2,195.5280963,1,184.6479261,1
193,2,12.7764,2,34.43758597,2,195.1363419,1,180.5831656,1
194,2,12.7626,2,34.43698577,2,192.9951865,1,179.1762716,1
195,2,12.7618,2,34.4370858,2,193.2028164,1,179.2059246,1
196,2,12.7615,2,34.43698577,2,195.0575558,1,176.4226067,1
197,2,12.7584,2,34.43688574,2,195.6290819,1,175.4228853,1
198,2,12.746,2,34.4364856,2,194.9099949,1,175.2071858,1
199,2,12.7238,2,34.4361855,2,193.7051326,1,175.1580982,1
200,2,12.7159,2,34.43518516,2,194.1565207,1,174.954202,1
201,2,12.7054,2,34.4343849,2,193.7168852,1,174.5786889,1
202,2,12.6973,2,34.43478503,2,193.6737922,1,174.0865445,1
203,2,12.6612,2,34.43048358,2,190.1223211,1,173.8316207,1
204,2,12.6206,2,34.42828284,2,188.8151673,1,173.9277715,1
205,2,12.5751,2,34.42698241,2,189.4032341,1,173.836084,1
206,2,12.6073,2,34.42928318,2,190.071393,1,172.3335533,1
207,2,12.5473,2,34.42618214,2,188.3568146,1,172.2928915,1
208,2,12.5433,2,34.42348123,2,187.4980019,1,171.1603231,1
209,2,12.5028,2,34.42448157,2,186.9316992,1,170.4923917,1
210,2,12.4984,2,34.42418147,2,187.4157335,1,169.4380838,1
211,2,12.4899,2,34.4242815,2,186.6631298,1,168.7862221,1
212,2,12.4803,2,34.42358126,2,186.6496361,1,168.7177952,1
213,2,12.4716,2,34.42388137,2,186.8063378,1,168.4056181,1
214,2,12.4763,2,34.42408143,2,186.4994635,1,167.9724795,1
215,2,12.4662,2,34.4233812,2,185.4587027,1,167.7467895,1
216,2,12.4367,2,34.42268096,2,183.4032981,1,167.5880275,1
217,2,12.4211,2,34.42268096,2,183.9608951,1,167.1990642,1
218,2,12.4083,2,34.41967995,2,181.7187542,1,166.2519997,1
219,2,12.3542,2,34.41807942,2,180.5330442,1,166.1543625,1
220,2,12.3399,2,34.41827948,2,179.3512519,1,165.940743,1
221,2,12.3038,2,34.41497837,2,178.6134478,1,165.4923589,1
222,2,12.3009,2,34.41647888,2,179.4509316,1,164.2403259,1
223,2,12.2855,2,34.4135779,2,177.9674883,1,163.7171875,1
224,2,12.2563,2,34.41527847,2,177.2436133,1,163.6614411,1
225,2,12.2597,2,34.41517844,2,178.0292984,1,162.7274591,1
226,2,12.2622,2,34.41447821,2,178.989532,1,161.2489432,1
227,2,12.2539,2,34.41517844,2,178.9042166,1,161.2491948,1
228,2,12.2494,2,34.41497837,2,178.4728515,1,161.1612346,1
229,2,12.2457,2,34.41487834,2,178.3061382,1,161.040047,1
230,2,12.2687,2,34.41587868,2,178.1799062,1,160.5664953,1
231,2,12.2397,2,34.413878,2,177.3089057,1,160.9825594,1
232,2,12.2284,2,34.41427814,2,177.1234752,1,161.0229888,1
233,2,12.2249,2,34.41427814,2,177.1622154,1,160.7963862,1
234,2,12.2296,2,34.41457824,2,177.5195825,1,160.2002769,1
235,2,12.2203,2,34.41317777,2,177.6793312,1,159.998705,1
236,2,12.2104,2,34.41347787,2,177.9278776,1,160.0848765,1
237,2,12.208,2,34.41337784,2,178.4432522,1,160.0391019,1
238,2,12.2117,2,34.4129777,2,176.2803327,1,159.6048467,1
239,2,12.189,2,34.41137716,2,173.4044203,1,159.7367575,1
240,2,12.1079,2,34.40617542,2,171.6728659,1,160.1479607,1
241,2,12.0475,2,34.40657555,2,170.8440877,1,160.2720951,1
242,2,12.0119,2,34.40537515,2,171.3755678,1,159.8935049,1
243,2,12.0648,2,34.40557521,2,170.8340762,1,157.0733471,1
244,2,11.9075,2,34.39787263,2,167.5098226,1,158.2676362,1
245,2,11.8676,2,34.39997333,2,166.4059458,1,158.0820564,1
246,2,11.8363,2,34.3992731,2,166.9979302,1,157.2883054,1
247,2,11.8166,2,34.4013738,2,167.8502136,1,155.6245408,1
248,2,11.7933,2,34.39727242,2,167.0275294,1,154.0615282,1
249,2,11.7703,2,34.39647215,2,166.3119248,1,153.3938316,1
250,2,11.7434,2,34.39557185,2,165.8074322,1,152.8715198,1
251,2,11.7088,2,34.39427141,2,165.7921973,1,152.4249374,1
252,2,11.7378,2,34.39337111,2,165.2890105,1,151.4540925,1
253,2,11.6571,2,34.39457152,2,164.9316435,1,151.6883164,1
254,2,11.6385,2,34.39377125,2,164.7862591,1,151.3477177,1
255,2,11.6342,2,34.39357118,2,164.8023645,1,150.9110476,1
256,2,11.6508,2,34.39407135,2,165.6333191,1,150.1098989,1
257,2,11.6683,2,34.39447148,2,164.6252045,1,149.6289763,1
258,2,11.5246,2,34.38836943,2,163.0642809,1,150.4935069,1
259,2,11.5062,2,34.38876957,2,162.6242101,1,150.4474656,1
260,2,11.5055,2,34.38746913,2,162.782653,1,149.9676864,1
261,2,11.4699,2,34.38676889,2,163.4734466,1,149.6828776,1
262,2,11.4788,2,34.38776923,2,163.7846737,1,148.7974595,1
263,2,11.4773,2,34.38716903,2,162.2629255,1,147.7883014,1
264,2,11.4172,2,34.38166718,2,161.9886975,1,148.0103842,1
265,2,11.3368,2,34.38126704,2,161.6317657,1,148.2382816,1
266,2,11.34,2,34.38206731,2,160.1957682,1,147.5843316,1
267,2,11.2515,2,34.37616533,2,159.7334981,1,147.2780738,1
268,2,11.2189,2,34.37776587,2,159.4675404,1,146.7896328,1
269,2,11.1957,2,34.37486489,2,158.8981906,1,146.1924315,1
270,2,11.1708,2,34.37346442,2,158.8241926,1,145.761014,1
271,2,11.1252,2,34.37356446,2,159.673429,1,145.5013213,1
272,2,11.1042,2,34.37366449,2,158.3549579,1,144.5697286,1
273,2,11.0077,2,34.36736237,2,156.7487649,1,144.6322622,1
274,2,10.9646,2,34.36496157,2,155.7920136,1,144.3092668,1
275,2,10.9115,2,34.36296089,2,156.2207671,1,144.1788612,1
276,2,10.8924,2,34.36356109,2,156.6621437,1,143.7261837,1
277,2,10.9002,2,34.3644614,2,156.5211121,1,142.7798409,1
278,2,10.8508,2,34.36196056,2,156.2477546,1,142.418668,1
279,2,10.8295,2,34.36136035,2,155.7624144,1,142.158606,1
280,2,10.811,2,34.36025999,2,155.3541193,1,141.9197251,1
281,2,10.796,2,34.36046005,2,155.9600327,1,141.8028814,1
282,2,10.8006,2,34.36136035,2,156.0457834,1,141.3796564,1
283,2,10.7647,2,34.35895955,2,155.2570513,1,141.1120479,1
284,2,10.7438,2,34.35865945,2,155.2688039,1,141.0136274,1
285,2,10.7282,2,34.35845938,2,155.9591622,1,140.8997227,1
286,2,10.7132,2,34.35915962,2,154.8161099,1,140.7003115,1
287,2,10.6372,2,34.35305756,2,153.023616,1,140.6660222,1
288,2,10.5638,2,34.35035666,2,152.2762357,1,140.70116,1
289,2,10.5411,2,34.35095686,2,152.4399019,1,140.3890551,1
290,2,10.5389,2,34.35075679,2,153.143754,1,139.9313693,1
291,2,10.5416,2,34.35095686,2,153.3883828,1,139.2670565,1
292,2,10.5303,2,34.34955639,2,152.8978193,1,138.6222478,1
293,2,10.4975,2,34.34845602,2,151.3691066,1,138.7745845,1
294,2,10.4329,2,34.34425461,2,150.4506602,1,139.0025916,1
295,2,10.3637,2,34.3433543,2,149.8917573,1,139.2130675,1
296,2,10.3417,2,34.34355437,2,150.3727446,1,138.9235135,1
297,2,10.3353,2,34.34355437,2,151.5832657,1,137.8755544,1
298,2,10.3124,2,34.34165373,2,150.1847025,1,137.2334167,1
299,2,10.291,2,34.34115356,2,149.7872895,1,137.1048336,1
300,2,10.2628,2,34.34005319,2,149.6923979,1,136.9976454,1
301,2,10.2491,2,34.34005319,2,149.6749865,1,136.8473809,1
302,2,10.2466,2,34.34015323,2,149.8625934,1,136.5785941,1
303,2,10.2583,2,34.33995316,2,150.3583803,1,136.1613827,1
304,2,10.2268,2,34.33895282,2,150.2182193,1,136.25475,1
305,2,10.2133,2,34.33895282,2,149.8556288,1,136.2690733,1
306,2,10.2061,2,34.33875276,2,149.9779433,1,136.0976962,1
307,2,10.2118,2,34.33705219,2,149.3254546,1,135.8063529,1
308,2,10.1271,2,34.33445131,2,148.4139727,1,136.1997759,1
309,2,10.1078,2,34.33515155,2,148.4178903,1,136.090678,1
310,2,10.1348,2,34.33405118,2,148.6394491,1,135.3775981,1
311,2,10.0736,2,34.33135027,2,148.1327801,1,135.4235346,1
312,2,10.0501,2,34.33315087,2,147.707509,1,135.4106729,1
313,2,10.043,2,34.33235061,2,147.9012097,1,135.1010724,1
314,2,10.0364,2,34.33235061,2,148.3147283,1,134.7078926,1
315,2,10.0496,2,34.3311502,2,148.1558501,1,134.1708368,1
316,2,10.008,2,34.33095014,2,147.9952308,1,134.35023,1
317,2,10.0055,2,34.3311502,2,148.044853,1,134.1350365,1
318,2,9.9994,2,34.33075007,2,148.351292,1,133.9903121,1
319,2,9.9869,2,34.33034993,2,148.3539037,1,133.943157,1
320,2,9.9871,2,34.3308501,2,148.3739267,1,133.8045892,1
321,2,9.985,2,34.3308501,2,147.6914035,1,133.6447014,1
322,2,9.9429,2,34.32664869,2,146.1766199,1,133.7166116,1
323,2,9.8774,2,34.32634859,2,145.9058741,1,133.8838284,1
324,2,9.8606,2,34.32564835,2,146.0160006,1,133.7654455,1
325,2,9.8428,2,34.32494812,2,145.9032624,1,133.6528733,1
326,2,9.8238,2,34.32564835,2,145.7996651,1,133.4033211,1
327,2,9.7893,2,34.32714886,2,145.4444745,1,132.9779418,1
328,2,9.7557,2,34.32204714,2,144.5312515,1,132.6071504,1
329,2,9.7366,2,34.32084674,2,144.5852265,1,132.2193456,1
330,2,9.7189,2,34.31994644,2,144.7680452,1,132.0225963,1
331,2,9.6931,2,34.3192462,2,144.6796828,1,131.9044737,1
332,2,9.6632,2,34.31974637,2,143.7355548,1,131.6855548,1
333,2,9.6146,2,34.31584506,2,143.2898253,1,131.4667457,1
334,2,9.5964,2,34.31584506,2,143.8987858,1,131.2991534,1
335,2,9.5946,2,34.31584506,2,143.9205499,1,130.8003792,1
336,2,9.582,2,34.31524486,2,143.129206,1,130.253114,1
