CTD,20150316FEGNRIFS
#ORIGINAL_FILE=\Report\C3300.asc
#CTD_SAL ax+b   :a=1.0003361723921
#CTD_SAL ax+b   :b=-0.0131915369898792
# System UpLoad Time = Jan 26 2015 06:58:42
# NMEA Latitude = 32 59.99 N
# NMEA Longitude = 138 00.06 E
# Temperature SN = 1550
# Conductivity SN = 1244
# SBE43 Oxygen SN = 0357
# RINKO Oxygen SN = 0155
#1-3 dbar were removed because of error values.
NUMBER_HEADERS=10
EXPOCODE=49SO201501
SECT=138E
STNNBR=  C3300
CASTNO=1
DATE=20150125
TIME=2158
LATITUDE=32.99983
LONGITUDE=138.001
DEPTH=     0
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,RINKOOXY,RINKOOXY_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,UMOL/KG,
228,2,16.8821,2,34.61844675,2,196.4217316,1,195.7976369,1
229,2,16.8168,2,34.61784655,2,195.9320386,1,195.0411208,1
230,2,16.7709,2,34.61524568,2,196.9601762,1,193.4221795,1
231,2,16.7521,2,34.61594591,2,198.190285,1,190.424849,1
232,2,16.7428,2,34.61514564,2,198.0414183,1,187.4863134,1
233,2,16.7243,2,34.61474551,2,196.3803797,1,184.8941172,1
234,2,16.6743,2,34.6111443,2,193.1127129,1,183.2783107,1
235,2,16.595,2,34.60944373,2,190.4814292,1,182.0007593,1
236,2,16.496,2,34.60714295,2,190.0879337,1,180.9593575,1
237,2,16.3827,2,34.60004057,2,189.6378515,1,179.9202199,1
238,2,16.3343,2,34.5989402,2,191.2762554,1,177.8227889,1
239,2,16.3282,2,34.59944036,2,190.3756556,1,176.006062,1
240,2,16.3006,2,34.5989402,2,188.6427953,1,174.9391743,1
241,2,16.2439,2,34.59723962,2,188.4895758,1,174.5078562,1
242,2,16.2057,2,34.59833999,2,188.8595661,1,173.910453,1
243,2,16.1753,2,34.59593919,2,188.8025441,1,173.2434158,1
244,2,16.1175,2,34.58963707,2,188.7973207,1,172.7653013,1
245,2,16.0155,2,34.58193448,2,188.0307879,1,172.7570529,1
246,2,15.8768,2,34.57643263,2,186.152108,1,172.7510832,1
247,2,15.6819,2,34.56993045,2,186.7136226,1,173.1342653,1
248,2,15.6298,2,34.56812984,2,187.54893,1,172.0651813,1
249,2,15.5745,2,34.56312816,2,186.9260405,1,171.228267,1
250,2,15.4783,2,34.55552561,2,186.075063,1,171.2972904,1
251,2,15.4239,2,34.55682604,2,184.5846552,1,171.5299806,1
252,2,15.3621,2,34.55552561,2,183.5639173,1,171.2264621,1
253,2,15.2935,2,34.55562564,2,182.9340634,1,171.1139865,1
254,2,15.2619,2,34.5540251,2,181.81234,1,170.4844545,1
255,2,15.1884,2,34.55032386,2,180.7180394,1,169.9499234,1
256,2,15.0254,2,34.55062396,2,180.4216119,1,169.7129249,1
257,2,14.9907,2,34.54952359,2,180.8251189,1,168.1416066,1
258,2,14.9448,2,34.54792305,2,180.5857135,1,166.3851777,1
259,2,14.8949,2,34.54722282,2,180.8956347,1,165.8569736,1
260,2,14.8455,2,34.54532218,2,180.7855082,1,165.7489555,1
261,2,14.7958,2,34.54492204,2,180.9483039,1,165.3433433,1
262,2,14.7676,2,34.54442187,2,181.2499548,1,164.9634453,1
