       PrDM      T090C      C0S/m    Sbeox0V       FlSP     Upoly0     Upoly1     Upoly2      Sal00  Sigma-t00 Potemp090C       SvDM Sbeox0ML/L
     74.000     4.5761   3.126501     2.3911 1.6937e-01  1.9955442 -2.6207391  0.1319311    32.8490    26.0162     4.5709    1467.35     6.1089
     75.000     4.5594   3.125380     2.3842 1.7931e-01  1.9999782 -2.6825321  0.1319164    32.8520    26.0204     4.5542    1467.30     6.1027
     76.000     4.5501   3.124985     2.3804 1.8274e-01  2.0016329 -2.6774846  0.1295999    32.8562    26.0247     4.5447    1467.28     6.0931
     77.000     4.5284   3.124755     2.3683 1.5789e-01  2.0032657 -2.6959230  0.1290695    32.8746    26.0416     4.5230    1467.23     5.9966
     78.000     4.4973   3.125415     2.3419 1.4723e-01  2.0132848 -2.7400167  0.1342890    32.9127    26.0751     4.4919    1467.17     5.8524
     79.000     4.4962   3.126606     2.3073 1.4793e-01  2.0279923 -2.7475457  0.1290331    32.9272    26.0867     4.4907    1467.20     5.7520
     80.000     4.4969   3.128735     2.2768 1.3522e-01  2.0415474 -2.7717151  0.1330591    32.9507    26.1053     4.4913    1467.25     5.6343
     81.000     4.5017   3.131173     2.2443 1.3385e-01  2.0601144 -2.7795705  0.1325286    32.9739    26.1232     4.4960    1467.31     5.5054
     82.000     4.5100   3.133478     2.1963 1.3166e-01  2.0775943 -2.7645871  0.1367883    32.9920    26.1367     4.5042    1467.39     5.3977
     83.000     4.5136   3.134530     2.1700 1.0499e-01  2.0934269 -2.7846607  0.1387512    33.0001    26.1428     4.5078    1467.43     5.3345
     84.000     4.5135   3.135353     2.1577 1.0722e-01  2.1069022 -2.8042642  0.1347558    33.0093    26.1500     4.5076    1467.46     5.2848
     85.000     4.5110   3.136853     2.1389 1.2392e-01  2.1186648 -2.8135721  0.1350672    33.0287    26.1658     4.5050    1467.49     5.2096
     86.000     4.5108   3.137598     2.1017 1.1988e-01  2.1193847 -2.7988343  0.1389639    33.0372    26.1725     4.5047    1467.51     5.1204
     87.000     4.5051   3.139579     2.0822 1.0198e-01  2.1368856 -2.8211328  0.1391619    33.0654    26.1955     4.4990    1467.54     4.9982
     88.000     4.5006   3.140980     2.0592 1.1288e-01  2.1591241 -2.8346116  0.1406158    33.0857    26.2121     4.4944    1467.57     4.9067
     89.000     4.4869   3.143166     2.0188 1.1842e-01  2.1779353 -2.8325941  0.1441832    33.1245    26.2443     4.4806    1467.57     4.7433
     90.000     4.4594   3.143371     1.9656 1.0632e-01  2.1948660 -2.8227076  0.1414233    33.1540    26.2706     4.4531    1467.51     4.6079
     91.000     4.4463   3.144033     1.9322 1.0348e-01  2.2185956 -2.8537980  0.1427486    33.1743    26.2881     4.4400    1467.50     4.5056
     92.000     4.4585   3.149648     1.8869 1.1487e-01  2.2463988 -2.8564159  0.1442570    33.2271    26.3288     4.4521    1467.64     4.3009
     93.000     4.5357   3.160351     1.8356 8.7947e-02  2.2817914 -2.8258598  0.1479071    33.2738    26.3577     4.5291    1468.03     4.0994
     94.000     4.5907   3.167539     1.7944 1.0069e-01  2.3210521 -2.7868753  0.1465724    33.3017    26.3739     4.5840    1468.31     3.9809
     95.000     4.6103   3.170772     1.7511 8.8132e-02  2.3494041 -2.7638656  0.1453100    33.3191    26.3856     4.6035    1468.43     3.8928
     96.000     4.6409   3.175296     1.7197 9.6706e-02  2.3699103 -2.7361779  0.1480927    33.3404    26.3992     4.6340    1468.60     3.8004
     97.000     4.6955   3.182808     1.6826 8.3078e-02  2.3890418 -2.7000678  0.1478770    33.3722    26.4185     4.6885    1468.88     3.6530
     98.000     4.7446   3.188957     1.6537 7.6560e-02  2.4158104 -2.6644361  0.1499141    33.3937    26.4302     4.7375    1469.13     3.5660
     99.000     4.7374   3.188875     1.6331 8.0855e-02  2.4358249 -2.6567218  0.1510520    33.3995    26.4356     4.7302    1469.12     3.5343
    100.000     4.6617   3.183282     1.6125 9.1098e-02  2.4471340 -2.6872484  0.1500271    33.4103    26.4525     4.6545    1468.84     3.4959
    101.000     4.5708   3.176245     1.5911 7.8596e-02  2.4467190 -2.7152392  0.1486163    33.4196    26.4697     4.5635    1468.49     3.4311
    102.000     4.6764   3.188063     1.5732 7.6037e-02  2.4674563 -2.7173024  0.1502608    33.4500    26.4823     4.6690    1468.98     3.3249
    103.000     4.6713   3.188739     1.5527 7.9998e-02  2.4925911 -2.7083989  0.1509890    33.4625    26.4928     4.6639    1469.00     3.2667
    104.000     4.6035   3.184295     1.5280 7.8052e-02  2.5127746 -2.7541171  0.1545941    33.4788    26.5131     4.5960    1468.75     3.1895
    105.000     4.5344   3.178860     1.5033 7.9078e-02  2.5357689 -2.7972862  0.1515781    33.4849    26.5253     4.5269    1468.49     3.1536
    106.000     4.4852   3.174638     1.4910 7.1106e-02  2.5491416 -2.8629712  0.1533249    33.4848    26.5306     4.4777    1468.30     3.1317
    107.000     4.4158   3.168679     1.4843 7.4188e-02  2.5565551 -2.9131300  0.1548854    33.4851    26.5381     4.4083    1468.03     3.1264
    108.000     4.3923   3.166749     1.4773 7.8803e-02  2.5569725 -2.8927021  0.1519205    33.4858    26.5412     4.3847    1467.95     3.1193
    109.000     4.3908   3.167547     1.4701 6.9928e-02  2.5595925 -2.9437960  0.1569354    33.4962    26.5496     4.3831    1467.98     3.0564
    110.000     4.4505   3.176550     1.4478 7.0933e-02  2.5771369 -2.9229264  0.1578225    33.5404    26.5784     4.4427    1468.30     2.9032
    111.000     4.4482   3.177428     1.4190 7.1576e-02  2.6149401 -2.9168386  0.1553160    33.5525    26.5883     4.4403    1468.32     2.8399
    112.000     4.4425   3.177756     1.3949 7.0566e-02  2.6380900 -2.9193588  0.1513545    33.5616    26.5961     4.4346    1468.32     2.7876
    113.000     4.4191   3.176730     1.3798 6.6764e-02  2.6500874 -2.9385496  0.1597400    33.5728    26.6075     4.4111    1468.26     2.7304
    114.000     4.3585   3.172434     1.3615 7.2823e-02  2.6708410 -2.9730427  0.1557387    33.5836    26.6225     4.3505    1468.04     2.6724
    115.000     4.3264   3.170356     1.3395 6.9530e-02  2.6921934 -3.0059041  0.1587179    33.5914    26.6320     4.3184    1467.93     2.6157
    116.000     4.3738   3.176730     1.3181 6.8709e-02  2.7084691 -2.9984609  0.1566369    33.6174    26.6477     4.3656    1468.17     2.5078
    117.000     4.4437   3.185356     1.2856 6.5406e-02  2.7414846 -2.9420677  0.1578640    33.6467    26.6635     4.4354    1468.52     2.3897
    118.000     4.4659   3.188400     1.2668 6.5257e-02  2.7678699 -2.9273210  0.1544678    33.6592    26.6710     4.4575    1468.64     2.3467
    119.000     4.4517   3.187722     1.2527 6.6479e-02  2.7868035 -2.9265264  0.1632717    33.6652    26.6774     4.4432    1468.61     2.3214
    120.000     4.4196   3.184879     1.2379 7.5100e-02  2.7979598 -2.9365715  0.1574208    33.6641    26.6799     4.4111    1468.49     2.3067
    121.000     4.5063   3.194096     1.2274 6.4858e-02  2.8016741 -2.9022330  0.1602449    33.6831    26.6857     4.4976    1468.89     2.2561
    122.000     4.5241   3.196599     1.2180 6.5977e-02  2.8169764 -2.8822574  0.1609829    33.6936    26.6922     4.5153    1468.99     2.2205
    123.000     4.4576   3.191094     1.2046 6.9678e-02  2.8318518 -2.9032137  0.1613132    33.6965    26.7016     4.4488    1468.73     2.1750
    124.000     4.3398   3.180359     1.1900 6.5959e-02  2.8493900 -2.9877393  0.1610600    33.6905    26.7093     4.3311    1468.26     2.1447
    125.000     4.2800   3.175073     1.1801 6.5581e-02  2.8636456 -3.0411315  0.1640098    33.6890    26.7144     4.2713    1468.02     2.1182
    126.000     4.2591   3.173436     1.1716 6.7268e-02  2.8750252 -3.0703957  0.1613915    33.6906    26.7179     4.2504    1467.95     2.0993
    127.000     4.2549   3.173930     1.1621 7.1477e-02  2.8850225 -3.0838252  0.1632498    33.7002    26.7260     4.2461    1467.96     2.0605
    128.000     4.2475   3.173899     1.1525 6.5093e-02  2.8962687 -3.0908682  0.1585366    33.7070    26.7321     4.2386    1467.96     2.0379
    129.000     4.2442   3.173743     1.1453 6.4910e-02  2.9068552 -3.0978638  0.1625905    33.7079    26.7332     4.2352    1467.96     2.0181
    130.000     4.2285   3.173225     1.1387 6.3623e-02  2.9140680 -3.1220289  0.1589673    33.7174    26.7424     4.2194    1467.93     1.9802
    131.000     4.2187   3.173434     1.1295 6.3195e-02  2.9273029 -3.1334835  0.1650289    33.7294    26.7529     4.2096    1467.91     1.9208
    132.000     4.2299   3.175486     1.1124 7.0700e-02  2.9484596 -3.1264780  0.1607764    33.7415    26.7614     4.2207    1467.99     1.8583
    133.000     4.2110   3.174851     1.0922 6.4020e-02  2.9663098 -3.1273287  0.1621858    33.7530    26.7725     4.2017    1467.94     1.8023
