       PrDM      T090C      C0S/m       FlSP     Upoly0     Upoly1      Sal00 Sbeox0ML/L  Sigma-t00       SvDM Potemp090C
     81.000    20.3013   4.785667 2.0332e-01  0.0097680  0.0904696    34.6721     5.1837    24.4319    1523.26    20.2862
     82.000    20.3480   4.793568 1.7552e-01  0.0097680  0.0892752    34.6976     5.1859    24.4390    1523.44    20.3327
     83.000    20.3951   4.801810 1.6594e-01  0.0097680  0.0884573    34.7255     5.1691    24.4477    1523.61    20.3796
     84.000    20.3918   4.803215 1.8841e-01  0.0097680  0.0891400    34.7393     5.1538    24.4591    1523.64    20.3761
     85.000    20.3395   4.798494 1.9893e-01  0.0097680  0.0918838    34.7435     5.1366    24.4762    1523.51    20.3237
     86.000    20.2314   4.785151 1.7508e-01  0.0097680  0.0924190    34.7236     5.1421    24.4897    1523.21    20.2154
     87.000    20.0641   4.763615 1.8421e-01  0.0097680  0.0932649    34.6852     5.1675    24.5047    1522.72    20.0481
     88.000    19.9528   4.749550 2.0923e-01  0.0097680  0.0936920    34.6616     5.1906    24.5160    1522.41    19.9366
     89.000    19.9226   4.745576 2.2308e-01  0.0097680  0.0922374    34.6536     5.1929    24.5178    1522.33    19.9063
     90.000    19.8802   4.740775 2.1183e-01  0.0097680  0.0902621    34.6488     5.1973    24.5253    1522.22    19.8637
     91.000    19.8540   4.738887 2.0185e-01  0.0097680  0.0885007    34.6546     5.1943    24.5366    1522.17    19.8373
     92.000    19.7989   4.733134 2.0306e-01  0.0097680  0.0882358    34.6526     5.1883    24.5495    1522.03    19.7821
     93.000    19.7393   4.727228 1.9309e-01  0.0097680  0.0885202    34.6529     5.1791    24.5653    1521.89    19.7224
     94.000    19.7200   4.725493 2.2151e-01  0.0097680  0.0888882    34.6543     5.1688    24.5714    1521.85    19.7028
     95.000    19.6972   4.723155 2.3651e-01  0.0097680  0.0897537    34.6536     5.1542    24.5768    1521.80    19.6799
     96.000    19.6481   4.717754 2.1650e-01  0.0097680  0.0900180    34.6493     5.1432    24.5863    1521.68    19.6307
     97.000    19.5779   4.709984 2.2805e-01  0.0097680  0.0918194    34.6431     5.1435    24.5998    1521.49    19.5603
     98.000    19.5476   4.706660 2.6029e-01  0.0097680  0.0919372    34.6404     5.1474    24.6056    1521.42    19.5298
     99.000    19.5118   4.702683 2.3647e-01  0.0097680  0.0911583    34.6369     5.1409    24.6122    1521.33    19.4939
    100.000    19.4690   4.698415 2.2189e-01  0.0097680  0.0894277    34.6368     5.1327    24.6232    1521.23    19.4509
