Sample.number	Marker	replicate	Extraction_lab	Sequencing_lab	Library_name	Location.name	Location.ID	SampleID	Cruise	Station	Tow	net	Mesh_size	Size_frac	Min_depth	Max_depth	Depth_midpoint	depth_bin	Diel	dna-conc	Province	Lat(N)	Lon(W)
S758	COI	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N7	NH1208	7	7	7	100um	na	25	50	38		day	14665.021		47.0103165	-144.6739975
S759	COI	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N8	NH1208	7	7	8	100um	na	0	25	13		day	11002.232		47.0103165	-144.6739975
S760	COI	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N1	NH1208	7	8	1	100um	na	800	1000	900		night	10019.622		47.0103165	-144.6739975
S761	COI	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N2	NH1208	7	8	2	100um	na	600	800	700		night	11027.741		47.0103165	-144.6739975
S762	COI	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N3	NH1208	7	8	3	100um	na	500	600	550		night	10581.387		47.0103165	-144.6739975
S763	COI	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N4	NH1208	7	8	4	100um	na	300	500	400		night	12961.078		47.0103165	-144.6739975
S764	COI	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N5	NH1208	7	8	5	100um	na	100	300	200		night	11710.694		47.0103165	-144.6739975
S765	COI	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N6	NH1208	7	8	6	100um	na	50	100	75		night	14037.422		47.0103165	-144.6739975
S766	COI	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N7	NH1208	7	8	7	100um	na	25	50	38		night	14034.321		47.0103165	-144.6739975
S767	COI	rep2	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N8	NH1208	7	8	8	100um	na	0	25	13		night	11467.73		47.0103165	-144.6739975
S768	COI	rep2	BATS	Allen	Library-BB	Transition East	2	M11N1	NH1208	15	11	1	100um	na	800	1000	900		day	10793.229		43.04988	-138.1465175
S769	COI	rep2	BATS	Allen	Library-BB	Transition East	2	M11N2	NH1208	15	11	2	100um	na	600	800	700		day	12333.722		43.04988	-138.1465175
S770	COI	rep2	BATS	Allen	Library-BB	Transition East	2	M11N3	NH1208	15	11	3	100um	na	400	600	500		day	12281.844		43.04988	-138.1465175
S771	COI	rep2	BATS	Allen	Library-BB	Transition East	2	M11N4	NH1208	15	11	4	100um	na	200	400	300		day	12275.185		43.04988	-138.1465175
S772	COI	rep2	BATS	Allen	Library-BB	Transition East	2	M11N5	NH1208	15	11	5	100um	na	100	200	150		day	12233.117		43.04988	-138.1465175
S773	COI	rep2	BATS	Allen	Library-BB	Transition East	2	M11N6	NH1208	15	11	6	100um	na	50	100	75		day	12093.2		43.04988	-138.1465175
S774	COI	rep2	BATS	Allen	Library-BB	Transition East	2	M11N7	NH1208	15	11	7	100um	na	25	50	38		day	6665.531		43.04988	-138.1465175
S775	COI	rep2	BATS	Allen	Library-BB	Transition East	2	M11N8	NH1208	15	11	8	100um	na	0	25	13		day	9089.519		43.04988	-138.1465175
S776	COI	rep2	BATS	Allen	Library-BB	Transition East	2	M12N1	NH1208	15	12	1	100um	na	800	1000	900		night	6612.882		43.04988	-138.1465175
S777	COI	rep2	BATS	Allen	Library-BB	Transition East	2	M12N2	NH1208	15	12	2	100um	na	600	800	700		night	12719.968		43.04988	-138.1465175
S778	COI	rep2	BATS	Allen	Library-BB	Transition East	2	M12N3	NH1208	15	12	3	100um	na	400	600	500		night	12281.945		43.04988	-138.1465175
