Sample.number	Marker	replicate	Extraction_lab	Sequencing_lab	Library_name	Location.name	Location.ID	SampleID	Cruise	Station	Tow	net	Mesh_size	Size_frac	Min_depth	Max_depth	Depth_midpoint	depth_bin	Diel	dna-conc	Province	Lat(N)	Lon(W)
S943	18S	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N8	NH1208	34	26	8	100um	na	0	25	13		night	17473.99		33.5469525	-134.9893835
S944	18S	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N1	NH1208	34	25	1	100um	na	800	1000	900		day	16044.501		33.5469525	-134.9893835
S945	18S	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N2	NH1208	34	25	2	100um	na	600	800	700		day	19807.02		33.5469525	-134.9893835
S946	18S	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N3	NH1208	34	25	3	100um	na	400	600	500		day	10356.637		33.5469525	-134.9893835
S947	18S	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N4	NH1208	34	25	4	100um	na	200	400	300		day	16826.956		33.5469525	-134.9893835
S948	18S	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N5	NH1208	34	25	5	100um	na	100	200	150		day	15073.013		33.5469525	-134.9893835
S949	18S	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N6	NH1208	34	25	6	100um	na	50	100	75		day	15641.912		33.5469525	-134.9893835
S950	18S	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N7	NH1208	34	25	7	100um	na	25	50	38		day	20145.512		33.5469525	-134.9893835
S951	18S	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N8	NH1208	34	25	8	100um	na	0	25	13		day	16464.009		33.5469525	-134.9893835
S952	18S	rep2	BATS	Allen	Library-BB	na	na	MOCK-EVEN	na	na	na	na	100um	na	na	na	na		na	16200		na	na
S953	18S	rep2	BATS	Allen	Library-BB	na	na	MOCK-STAGGERED	na	na	na	na	100um	na	na	na	na		na	14600		na	na
S954	18S	rep2	BATS	Allen	Library-BB	na	na	NC	na	na	na	na	100um	na	na	na	na		na	7230		na	na
S955	18S	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N1	NH1208	7	7	1	100um	na	800	1000	900		day	15660.55		47.0103165	-144.6739975
S956	18S	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N2	NH1208	7	7	2	100um	na	600	800	700		day	14740.11		47.0103165	-144.6739975
S957	18S	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N3	NH1208	7	7	3	100um	na	400	600	500		day	14462.96		47.0103165	-144.6739975
S958	18S	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N4	NH1208	7	7	4	100um	na	200	400	300		day	9090.425		47.0103165	-144.6739975
S959	18S	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N5	NH1208	7	7	5	100um	na	100	200	150		day	16101.072		47.0103165	-144.6739975
S960	18S	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N6	NH1208	7	7	6	100um	na	50	100	75		day	7513.978		47.0103165	-144.6739975
S961	18S	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N7	NH1208	7	7	7	100um	na	25	50	38		day	18643.456		47.0103165	-144.6739975
S962	18S	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M7N8	NH1208	7	7	8	100um	na	0	25	13		day	16724.355		47.0103165	-144.6739975
S963	18S	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N1	NH1208	7	8	1	100um	na	800	1000	900		night	8427.052		47.0103165	-144.6739975
S964	18S	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N2	NH1208	7	8	2	100um	na	600	800	700		night	15909.348		47.0103165	-144.6739975
S965	18S	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N3	NH1208	7	8	3	100um	na	500	600	550		night	15572.016		47.0103165	-144.6739975
S966	18S	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N4	NH1208	7	8	4	100um	na	300	500	400		night	13574.009		47.0103165	-144.6739975
S967	18S	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N5	NH1208	7	8	5	100um	na	100	300	200		night	15130.449		47.0103165	-144.6739975
S968	18S	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N6	NH1208	7	8	6	100um	na	50	100	75		night	7420.445		47.0103165	-144.6739975
S969	18S	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N7	NH1208	7	8	7	100um	na	25	50	38		night	14692.797		47.0103165	-144.6739975
S970	18S	rep3	BATS	Allen	Library-BB	Subarctic Gyre South East	1	M8N8	NH1208	7	8	8	100um	na	0	25	13		night	17435.973		47.0103165	-144.6739975
S971	18S	rep3	BATS	Allen	Library-BB	Transition East	2	M11N1	NH1208	15	11	1	100um	na	800	1000	900		day	16515.694		43.04988	-138.1465175
S972	18S	rep3	BATS	Allen	Library-BB	Transition East	2	M11N2	NH1208	15	11	2	100um	na	600	800	700		day	15302.318		43.04988	-138.1465175
S973	18S	rep3	BATS	Allen	Library-BB	Transition East	2	M11N3	NH1208	15	11	3	100um	na	400	600	500		day	15117.466		43.04988	-138.1465175
S974	18S	rep3	BATS	Allen	Library-BB	Transition East	2	M11N4	NH1208	15	11	4	100um	na	200	400	300		day	15137.368		43.04988	-138.1465175
S975	18S	rep3	BATS	Allen	Library-BB	Transition East	2	M11N5	NH1208	15	11	5	100um	na	100	200	150		day	17043.828		43.04988	-138.1465175
S976	18S	rep3	BATS	Allen	Library-BB	Transition East	2	M11N6	NH1208	15	11	6	100um	na	50	100	75		day	18343.363		43.04988	-138.1465175
S977	18S	rep3	BATS	Allen	Library-BB	Transition East	2	M11N7	NH1208	15	11	7	100um	na	25	50	38		day	15127.502		43.04988	-138.1465175
S978	18S	rep3	BATS	Allen	Library-BB	Transition East	2	M11N8	NH1208	15	11	8	100um	na	0	25	13		day	16776.915		43.04988	-138.1465175
S979	18S	rep3	BATS	Allen	Library-BB	Transition East	2	M12N1	NH1208	15	12	1	100um	na	800	1000	900		night	13424.722		43.04988	-138.1465175
S980	18S	rep3	BATS	Allen	Library-BB	Transition East	2	M12N2	NH1208	15	12	2	100um	na	600	800	700		night	15331.382		43.04988	-138.1465175
S981	18S	rep3	BATS	Allen	Library-BB	Transition East	2	M12N3	NH1208	15	12	3	100um	na	400	600	500		night	16161.264		43.04988	-138.1465175
S982	18S	rep3	BATS	Allen	Library-BB	Transition East	2	M12N4	NH1208	15	12	4	100um	na	200	400	300		night	15077.48		43.04988	-138.1465175
S983	18S	rep3	BATS	Allen	Library-BB	Transition East	2	M12N5	NH1208	15	12	5	100um	na	100	200	150		night	10652.881		43.04988	-138.1465175
S984	18S	rep3	BATS	Allen	Library-BB	Transition East	2	M12N6	NH1208	15	12	6	100um	na	50	100	75		night	8530.413		43.04988	-138.1465175
S985	18S	rep3	BATS	Allen	Library-BB	Transition East	2	M12N7	NH1208	15	12	7	100um	na	25	50	38		night	15504.858		43.04988	-138.1465175
S986	18S	rep3	BATS	Allen	Library-BB	Transition East	2	M12N8	NH1208	15	12	8	100um	na	0	25	13		night	15730.873		43.04988	-138.1465175
S987	18S	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N1	NH1208	34	26	1	100um	na	800	1000	900		night	15216.749		33.5469525	-134.9893835
S988	18S	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N2	NH1208	34	26	2	100um	na	600	800	700		night	15645.485		33.5469525	-134.9893835
S989	18S	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N3	NH1208	34	26	3	100um	na	400	600	500		night	15135.923		33.5469525	-134.9893835
S990	18S	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N4	NH1208	34	26	4	100um	na	200	400	300		night	13169.357		33.5469525	-134.9893835
S991	18S	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N5	NH1208	34	26	5	100um	na	100	200	150		night	8323.948		33.5469525	-134.9893835
S992	18S	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N6	NH1208	34	26	6	100um	na	50	100	75		night	13494.552		33.5469525	-134.9893835
S993	18S	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N7	NH1208	34	26	7	100um	na	25	50	38		night	14805.472		33.5469525	-134.9893835
S994	18S	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N8	NH1208	34	26	8	100um	na	0	25	13		night	14480.344		33.5469525	-134.9893835
S995	18S	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N1	NH1208	34	25	1	100um	na	800	1000	900		day	13052.129		33.5469525	-134.9893835
S996	18S	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N2	NH1208	34	25	2	100um	na	600	800	700		day	14427.813		33.5469525	-134.9893835
S997	18S	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N3	NH1208	34	25	3	100um	na	400	600	500		day	15353.157		33.5469525	-134.9893835
S998	18S	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N4	NH1208	34	25	4	100um	na	200	400	300		day	13139.788		33.5469525	-134.9893835
S999	18S	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N5	NH1208	34	25	5	100um	na	100	200	150		day	14136.587		33.5469525	-134.9893835
